system:index,count,label,.geo
-27025+8869,2,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.38934434307095,39.83579127428018],[-121.38036119022975,39.83579127428018],[-121.38036119022975,39.84028285070078],[-121.38934434307095,39.84028285070078],[-121.38934434307095,39.83579127428018]]]}"
-27026+8855,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.38934434307095,39.772909204391816],[-121.38485276665035,39.772909204391816],[-121.38485276665035,39.777400780812414],[-121.38934434307095,39.777400780812414],[-121.38934434307095,39.772909204391816]]]}"
-27026+8870,1,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.38934434307095,39.84028285070078],[-121.38485276665035,39.84028285070078],[-121.38485276665035,39.84477442712138],[-121.38934434307095,39.84477442712138],[-121.38934434307095,39.84028285070078]]]}"
-27027+8866,2,318,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.39832749591214,39.82231654501839],[-121.38934434307095,39.82231654501839],[-121.38934434307095,39.82680812143899],[-121.39832749591214,39.82680812143899],[-121.39832749591214,39.82231654501839]]]}"
-27027+8870,1,315,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.39383591949154,39.84028285070078],[-121.38934434307095,39.84028285070078],[-121.38934434307095,39.84477442712138],[-121.39383591949154,39.84477442712138],[-121.39383591949154,39.84028285070078]]]}"
-27028+8855,2,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40281907233273,39.772909204391816],[-121.39383591949154,39.772909204391816],[-121.39383591949154,39.777400780812414],[-121.40281907233273,39.777400780812414],[-121.40281907233273,39.772909204391816]]]}"
-27028+8856,2,316,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.39383591949154,39.772909204391816],[-121.38934434307095,39.772909204391816],[-121.38934434307095,39.777400780812414],[-121.39383591949154,39.777400780812414],[-121.39383591949154,39.772909204391816]]],[[[-121.39832749591214,39.777400780812414],[-121.39383591949154,39.777400780812414],[-121.39383591949154,39.78189235723301],[-121.39832749591214,39.78189235723301],[-121.39832749591214,39.777400780812414]]]]}"
-27028+8861,1,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.39832749591214,39.799858662915405],[-121.39383591949154,39.799858662915405],[-121.39383591949154,39.804350239335996],[-121.39832749591214,39.804350239335996],[-121.39832749591214,39.799858662915405]]]}"
-27029+8856,1,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40281907233273,39.777400780812414],[-121.39832749591214,39.777400780812414],[-121.39832749591214,39.78189235723301],[-121.40281907233273,39.78189235723301],[-121.40281907233273,39.777400780812414]]]}"
-27029+8869,1,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40281907233273,39.83579127428018],[-121.39832749591214,39.83579127428018],[-121.39832749591214,39.84028285070078],[-121.40281907233273,39.84028285070078],[-121.40281907233273,39.83579127428018]]]}"
-27029+8871,1,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40281907233273,39.84477442712138],[-121.39832749591214,39.84477442712138],[-121.39832749591214,39.84926600354198],[-121.40281907233273,39.84926600354198],[-121.40281907233273,39.84477442712138]]]}"
-27030+8856,3,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41629380159453,39.777400780812414],[-121.40281907233273,39.777400780812414],[-121.40281907233273,39.78189235723301],[-121.41629380159453,39.78189235723301],[-121.41629380159453,39.777400780812414]]]}"
-27030+8867,69,315,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.43875168369752,39.799858662915405],[-121.43426010727693,39.799858662915405],[-121.43426010727693,39.804350239336],[-121.43875168369752,39.804350239336],[-121.43875168369752,39.799858662915405]]],[[[-121.44324326011812,39.81782496859779],[-121.44324326011812,39.82231654501839],[-121.43875168369752,39.82231654501839],[-121.43875168369752,39.81782496859779],[-121.43426010727693,39.81782496859779],[-121.43426010727693,39.81333339217719],[-121.42976853085632,39.81333339217719],[-121.42976853085632,39.808841815756594],[-121.43426010727693,39.808841815756594],[-121.43426010727693,39.804350239336],[-121.42527695443573,39.804350239336],[-121.42527695443573,39.79536708649481],[-121.42078537801513,39.79536708649481],[-121.42078537801513,39.78638393365361],[-121.41629380159453,39.78638393365361],[-121.41629380159453,39.78189235723301],[-121.41180222517393,39.78189235723301],[-121.41180222517393,39.78638393365361],[-121.40731064875334,39.78638393365361],[-121.40731064875334,39.78189235723301],[-121.39383591949154,39.78189235723301],[-121.39383591949154,39.777400780812414],[-121.38934434307095,39.777400780812414],[-121.38934434307095,39.78638393365361],[-121.39832749591214,39.78638393365361],[-121.39832749591214,39.79087551007421],[-121.40731064875334,39.79087551007421],[-121.40731064875334,39.79536708649481],[-121.41180222517393,39.79536708649481],[-121.41180222517393,39.799858662915405],[-121.39832749591214,39.799858662915405],[-121.39832749591214,39.804350239336],[-121.40731064875334,39.804350239336],[-121.40731064875334,39.808841815756594],[-121.40281907233273,39.808841815756594],[-121.40281907233273,39.81333339217719],[-121.41180222517393,39.81333339217719],[-121.41180222517393,39.81782496859779],[-121.39832749591214,39.81782496859779],[-121.39832749591214,39.82231654501839],[-121.40731064875334,39.82231654501839],[-121.40731064875334,39.82680812143899],[-121.40281907233273,39.82680812143899],[-121.40281907233273,39.831299697859585],[-121.45671798937991,39.831299697859585],[-121.45671798937991,39.82680812143899],[-121.4522264129593,39.82680812143899],[-121.4522264129593,39.82231654501839],[-121.44773483653871,39.82231654501839],[-121.44773483653871,39.81782496859779],[-121.44324326011812,39.81782496859779]],[[-121.41180222517393,39.81782496859779],[-121.41180222517393,39.82231654501839],[-121.41629380159453,39.82231654501839],[-121.41629380159453,39.82680812143899],[-121.42976853085632,39.82680812143899],[-121.42976853085632,39.82231654501839],[-121.42527695443573,39.82231654501839],[-121.42527695443573,39.81782496859779],[-121.41180222517393,39.81782496859779]]],[[[-121.44324326011812,39.808841815756594],[-121.43875168369752,39.808841815756594],[-121.43875168369752,39.81782496859779],[-121.44324326011812,39.81782496859779],[-121.44324326011812,39.808841815756594]]]]}"
-27030+8869,1,337,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40731064875334,39.83579127428018],[-121.40281907233273,39.83579127428018],[-121.40281907233273,39.84028285070078],[-121.40731064875334,39.84028285070078],[-121.40731064875334,39.83579127428018]]]}"
-27030+8871,4,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41629380159453,39.84926600354198],[-121.41629380159453,39.84028285070078],[-121.41180222517393,39.84028285070078],[-121.41180222517393,39.84477442712138],[-121.40281907233273,39.84477442712138],[-121.40281907233273,39.84926600354198],[-121.41629380159453,39.84926600354198]]]}"
-27030+8873,1,319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.40731064875334,39.853757579962576],[-121.40281907233273,39.853757579962576],[-121.40281907233273,39.858249156383174],[-121.40731064875334,39.858249156383174],[-121.40731064875334,39.853757579962576]]]}"
-27031+8851,1,317,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41180222517393,39.75494289870942],[-121.40731064875334,39.75494289870942],[-121.40731064875334,39.75943447513002],[-121.41180222517393,39.75943447513002],[-121.41180222517393,39.75494289870942]]]}"
-27031+8857,1,314,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41180222517393,39.78189235723301],[-121.40731064875334,39.78189235723301],[-121.40731064875334,39.78638393365361],[-121.41180222517393,39.78638393365361],[-121.41180222517393,39.78189235723301]]]}"
-27031+8870,37,316,"{""geodesic"":false,""type"":""MultiPolygon"",""coordinates"":[[[[-121.39832749591214,39.82231654501839],[-121.39832749591214,39.81782496859779],[-121.41180222517393,39.81782496859779],[-121.41180222517393,39.81333339217719],[-121.40281907233273,39.81333339217719],[-121.40281907233273,39.808841815756594],[-121.40731064875334,39.808841815756594],[-121.40731064875334,39.804350239336],[-121.38934434307095,39.804350239336],[-121.38934434307095,39.82231654501839],[-121.39832749591214,39.82231654501839]]],[[[-121.39832749591214,39.82231654501839],[-121.39832749591214,39.82680812143899],[-121.39383591949154,39.82680812143899],[-121.39383591949154,39.831299697859585],[-121.38036119022975,39.831299697859585],[-121.38036119022975,39.83579127428018],[-121.38934434307095,39.83579127428018],[-121.38934434307095,39.84028285070078],[-121.39832749591214,39.84028285070078],[-121.39832749591214,39.83579127428018],[-121.40731064875334,39.83579127428018],[-121.40731064875334,39.84477442712138],[-121.41180222517393,39.84477442712138],[-121.41180222517393,39.84028285070078],[-121.42078537801513,39.84028285070078],[-121.42078537801513,39.83579127428018],[-121.42527695443573,39.83579127428018],[-121.42527695443573,39.84028285070078],[-121.43426010727693,39.84028285070078],[-121.43426010727693,39.83579127428018],[-121.42976853085632,39.83579127428018],[-121.42976853085632,39.831299697859585],[-121.40281907233273,39.831299697859585],[-121.40281907233273,39.82680812143899],[-121.40731064875334,39.82680812143899],[-121.40731064875334,39.82231654501839],[-121.39832749591214,39.82231654501839]]]]}"
-27031+8873,4,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41180222517393,39.858249156383174],[-121.41180222517393,39.84926600354198],[-121.39832749591214,39.84926600354198],[-121.39832749591214,39.853757579962576],[-121.40731064875334,39.853757579962576],[-121.40731064875334,39.858249156383174],[-121.41180222517393,39.858249156383174]]]}"
-27032+8851,1,316,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41629380159453,39.75494289870942],[-121.41180222517393,39.75494289870942],[-121.41180222517393,39.75943447513002],[-121.41629380159453,39.75943447513002],[-121.41629380159453,39.75494289870942]]]}"
-27032+8852,1,318,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.41629380159453,39.75943447513002],[-121.41180222517393,39.75943447513002],[-121.41180222517393,39.76392605155062],[-121.41629380159453,39.76392605155062],[-121.41629380159453,39.75943447513002]]]}"
