element_type,osmid,name,tourism,geometry,start_date,nodes,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,air_conditioning,brand,brand:wikidata,building,designation,phone,shop,toilets,website,wheelchair,amenity,operator,self_service,cuisine,official_name,healthcare,addr:country,email,layer,source,brand:wikipedia,alt_name,drive_through,opening_hours,ref,takeaway,atm,internet_access,building:levels,wikidata,addr:unit,ele,gnis:feature_id,denomination,religion,historic,tomb,townhall:type,access,toilets:disposal,unisex,description,operator:type,office,craft,leisure,note,telecom,check_date,social_centre:for,architect,level,healthcare:counselling,operator:wikidata,operator:website,operator:wikipedia,building:part,shelter_type,bench,generator:method,generator:output:electricity,generator:source,generator:type,power,ways,type
way,191002418,Safeway,,"POLYGON ((-121.4498023 37.7405073, -121.4490835 37.7405051, -121.4490808 37.7401403, -121.4489923 37.7401403, -121.4489896 37.7400024, -121.4490888 37.7400067, -121.4490966 37.7396516, -121.4497886 37.7396283, -121.4497889 37.7397076, -121.4498264 37.7397097, -121.4498345 37.740433, -121.4497969 37.7404309, -121.4498023 37.7405073))",,"[2015846427, 2015846608, 2015846410, 2015846445, 2015846592, 2015846466, 2015846571, 2015846439, 2015846579, 2015846555, 2015846428, 2015846422, 2015846427]",Tracy,1801,95376,CA,West 11 Street,yes,Safeway,Q1508234,yes,Safeway 2600,+1 209-830-2950,supermarket,yes,https://local.safeway.com/safeway/ca/tracy/1801-w-11th-st.html,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191002419,,,"POLYGON ((-121.4524037 37.7400359, -121.4523573 37.7400362, -121.4523562 37.7399293, -121.4524026 37.7399289, -121.4524037 37.7400359))",,"[2015846561, 2015846549, 2015846590, 2015846594, 2015846561]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191002427,,,"POLYGON ((-121.4525328 37.7411754, -121.4518917 37.7411818, -121.4518998 37.7413133, -121.4517576 37.7413133, -121.4515484 37.7412433, -121.4515431 37.7410439, -121.4517684 37.7410524, -121.4517603 37.7407512, -121.4519722 37.7407554, -121.4519722 37.7407151, -121.4523799 37.7407066, -121.4523906 37.7407469, -121.4525328 37.7407427, -121.4525328 37.7411754))",,"[2015846456, 2015846497, 2015846530, 2015846543, 2015846418, 2015846573, 2015846458, 2015846606, 2015846441, 2015846520, 2015846532, 2015846483, 2015846522, 2015846456]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191002431,,,"POLYGON ((-121.4513299 37.7400423, -121.4513277 37.7396041, -121.4510528 37.7396049, -121.4510531 37.7396739, -121.4510659 37.7396738, -121.4510676 37.7400458, -121.4511686 37.7400455, -121.4511685 37.7400263, -121.4512309 37.7400262, -121.451231 37.7400426, -121.4513299 37.7400423))",,"[2015846385, 2015846526, 2015846489, 2015846414, 2015846478, 2015846553, 2015846467, 2015846412, 2015846586, 2015846454, 2015846385]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191002439,,,"POLYGON ((-121.451468 37.7411266, -121.45124 37.7410905, -121.4512212 37.7411308, -121.4511541 37.7411245, -121.4511568 37.7410799, -121.4508913 37.7410375, -121.4509369 37.7408466, -121.4501269 37.740853, -121.4498613 37.7407681, -121.4499364 37.7405773, -121.4501269 37.7406388, -121.4508859 37.740643, -121.450894 37.7406218, -121.4509798 37.740626, -121.4509744 37.7406515, -121.4511005 37.7406727, -121.4511032 37.7406557, -121.4514572 37.7407003, -121.4514492 37.7407278, -121.4515618 37.7407448, -121.451468 37.7411266))",,"[2015846464, 2015846575, 2015846460, 2015846485, 2015846618, 2015846546, 2015846614, 2015846390, 2015846540, 2015846388, 2015846481, 2015846534, 2015846616, 2015846577, 2015846384, 2015846541, 2015846491, 2015846518, 2015846545, 2015846469, 2015846464]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,191002447,Safeway Fuel Station,,"POLYGON ((-121.4526245 37.7398339, -121.4521355 37.7398355, -121.4521349 37.7397109, -121.4526239 37.7397093, -121.4526245 37.7398339))",,"[2015846538, 2015846557, 2015846396, 2015846583, 2015846538]",,1801,95376,,West 11 Street,,Safeway,Q1508234,roof,Safeway 2600,,,,https://local.fuel.safeway.com/safeway/ca/tracy/1804-w-11th-st.html,,fuel,Safeway,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,252983906,Chili's,,"POLYGON ((-121.4539006 37.7538402, -121.4536385 37.7538389, -121.45364 37.7536635, -121.4536942 37.7536638, -121.4536944 37.7536386, -121.4537546 37.7536389, -121.4537547 37.7536241, -121.4539322 37.753625, -121.4539312 37.7537471, -121.4539013 37.753747, -121.4539006 37.7538402))",,"[2589837512, 2589837513, 2589837515, 2589837516, 2589837518, 2589837519, 2589837521, 2589837522, 2589837524, 2589837525, 2589837512]",Tracy,2030,95377,,West Grant Line Road,,Chili's,Q1072948,yes,,,,,,,restaurant,,,tex-mex,Chili's Grill & Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,413699473,Tracy Police Department,,"POLYGON ((-121.4191425 37.7392136, -121.4191428 37.7388535, -121.4187454 37.7388533, -121.4187451 37.7392134, -121.4191425 37.7392136))",,"[4149703811, 4149703812, 4149703813, 4149703814, 4149703811]",Tracy,1000,95376,CA,Civic Center Drive,,,,yes,,209-831-4550,,,https://www.tracypd.com/,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,413699475,,,"POLYGON ((-121.4170927 37.7378016, -121.4170907 37.7375697, -121.4168386 37.7375711, -121.4168406 37.737803, -121.4170927 37.7378016))",,"[4149703818, 4149703819, 4149703820, 4149703821, 4149703818]",,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,413700377,Grant Line Pharmacy,,"POLYGON ((-121.4563749 37.7538668, -121.4556837 37.7538721, -121.4556803 37.7535924, -121.4563714 37.7535871, -121.4563749 37.7538668))",,"[4149711959, 4149711960, 4149711961, 4149711962, 4149711959]",Tracy,2160,95691,CA,West Grant Line Road,,,,yes,,209-832-2999,,,,,pharmacy,,,,,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,461640961,Fry Memorial Chapel,,"POLYGON ((-121.4262726 37.7256536, -121.4262417 37.7256536, -121.426242 37.7257626, -121.4261863 37.7257627, -121.4261865 37.7258356, -121.4259848 37.7258361, -121.4259848 37.7258486, -121.425903 37.7258488, -121.425903 37.7258414, -121.4258211 37.7258416, -121.4258208 37.725748, -121.4258127 37.725748, -121.4258119 37.7255094, -121.4258651 37.7255093, -121.4258646 37.7253814, -121.4260244 37.7253811, -121.4260248 37.7255138, -121.4262721 37.7255133, -121.4262726 37.7256536))",,"[4571147577, 4571147576, 4571147575, 4571147574, 4571147573, 4571147572, 4571147571, 4571147570, 4571147569, 4571147568, 8741365860, 4571147567, 4571147565, 4571147563, 4571147561, 4571147560, 4571147559, 4571147558, 4571147577]",Tracy,550,95376,CA,South Central Avenue,,,,chapel,,+1 209 836 1970,,,https://www.frymemorialchapel.com/,,,,,,,,US,wecare@frymemorialchapel.com,1,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
